ticker,entry_date,exit_date,shares,entry_px,exit_px,gain_eur,fee_eur,tax_eur,days_held,exit_reason,ret_net
ADMA,2024-09-04,2024-10-07,62.0,16.8700008392334,20.329999923706055,195.83562323730462,12.4,0.0,23,strength,0.18611584034974368
EBAY,2024-08-06,2024-10-09,18.0,54.26179885864258,65.3629240645785,181.37809154468414,12.4,0.0,45,strength,0.1845609293711476
ADMA,2024-09-04,2024-10-11,63.0,16.8700008392334,17.1299991607666,-2.405785743408387,12.4,0.0,27,sma,-0.0022500891739876258
LTH,2024-08-05,2024-10-25,92.0,22.6200008392334,23.139999389648438,22.519866638183885,12.72,0.0,58,sma,0.010756321911930392
EBAY,2024-08-06,2024-10-30,19.0,54.26179885864258,61.16137101690282,112.31403316910655,12.4,0.0,60,sma,0.10826993288712561
CTRE,2024-08-06,2024-10-31,40.0,25.235307693481445,30.21727209663807,180.65357612626474,12.4,0.0,61,strength,0.1778721348159096
HIW,2024-09-06,2024-11-04,77.0,27.379886627197266,28.291101702876798,44.64356082732411,12.85,0.0,41,sma,0.0210491362657378
TPC,2024-10-11,2024-11-04,84.0,26.637418746948242,26.19894526637083,-62.72177236850257,12.9,0.0,16,egg,-0.027869739078894902
CTRE,2024-08-06,2024-11-07,40.0,25.235307693481445,27.42798620863185,69.0821406060162,12.4,0.0,66,sma,0.06801851416800404
IRM,2024-09-11,2024-11-07,19.0,107.40676879882812,107.55664938912035,-22.162268784447633,12.51,0.0,41,sma,-0.01079386323908217
FTDR,2024-09-06,2024-11-07,22.0,47.59000015258789,56.880001068115234,185.66502014160142,12.4,0.0,44,strength,0.17627067398010288
PTGX,2024-06-18,2024-11-13,34.0,32.59000015258789,43.59000015258789,355.1299999999999,12.4,0.0,103,sma,0.31863655383607187
LEU,2024-11-07,2024-11-15,28.0,86.5999984741211,76.48999786376953,-309.2900170898438,12.75,0.0,6,stop,-0.12684866360002764
POWL,2024-10-25,2024-11-20,13.0,84.19808959960938,89.07438014321644,44.69399928911389,12.4,0.0,18,strength,0.04059868996749584
CRS,2024-10-30,2024-11-26,7.0,158.79087829589844,193.81899097978268,226.31678878718958,12.4,0.0,19,strength,0.2024271198386651
POWL,2024-10-25,2024-11-29,14.0,84.19808959960938,87.5666709721093,27.977916992776954,12.4,0.0,24,sma,0.023598994348723496
CAVA,2024-11-14,2024-12-10,17.0,138.33999633789062,133.50999450683594,-108.46003112793005,13.07,0.0,17,sma,-0.04585931603550911
SEZL,2024-12-02,2024-12-10,37.0,63.836666107177734,55.0,-352.74664596557636,12.49,0.0,6,stop,-0.14850885548082732
CNX,2024-07-29,2024-12-17,42.0,25.770000457763672,36.61000061035156,436.4281991797757,12.4,0.0,99,sma,0.40083713761954604
CRS,2024-10-30,2024-12-18,7.0,158.79087829589844,173.14046743085518,81.56712394469719,12.4,0.0,34,sma,0.07295701773664914
SFM,2024-06-05,2024-12-19,14.0,78.73999786376953,135.1999969482422,771.5849871826172,12.4,0.0,137,sma,0.6958645112070047
GLW,2024-11-04,2024-12-19,50.0,45.712928771972656,45.82033502214697,-20.869687491284367,13.13,0.0,32,sma,-0.009078685823717339
ZBRA,2024-11-04,2024-12-19,6.0,377.0199890136719,384.44000244140625,18.290080566406232,13.17,0.0,32,sma,0.00803896003670837
CORT,2024-11-15,2024-12-19,45.0,51.83000183105469,52.650001525878906,10.349986267089662,13.32,0.0,23,sma,0.0044125486674966765
TRUP,2024-12-10,2024-12-20,43.0,53.9900016784668,48.63999938964844,-255.88009841918938,12.63,0.0,8,stop,-0.1095954164689635
FTDR,2024-09-06,2024-12-31,22.0,47.59000015258789,54.880001068115234,141.66502014160142,12.4,0.0,80,sma,0.13449700197010706
