date,AllPass (v5r),Rocket k=0.50
2009-07-29,91559.96953922448,90020.55825462613
2009-07-30,91908.18971115288,90020.55825462613
2009-07-31,92545.19412487207,90020.55825462613
2009-08-03,93478.44599091134,90020.55825462613
2009-08-04,93848.39855228981,90020.55825462613
2009-08-05,92815.98568983254,90020.55825462613
2009-08-06,90933.65917472253,90020.55825462613
2009-08-07,91887.92800803932,90020.55825462613
2009-08-10,91396.42786594185,90020.55825462613
2009-08-11,90481.79340453896,90020.55825462613
2009-08-12,91805.32140441689,90020.55825462613
2009-08-13,91999.65371986183,90020.55825462613
2009-08-14,90253.29344840797,90020.55825462613
2009-08-17,88707.3488330439,90020.55825462613
2009-08-18,90699.4375333384,90020.55825462613
2009-08-19,91216.29304881844,90002.5565744122
2009-08-20,92125.30805011543,89834.31673485837
2009-08-21,92745.2992658213,89806.2767615994
2009-08-24,92353.00565238747,90142.75644070706
2009-08-25,93199.47607799324,90885.81673485837
2009-08-26,93239.67994590553,91011.9962802609
2009-08-27,92960.75763907799,90535.31673485837
2009-08-28,92736.95811876091,90913.85670811734
2009-08-31,91650.78966924081,91222.29641396603
2009-09-01,89751.38705941568,91194.25644070706
2009-09-02,90796.52556287179,90759.63652093014
2009-09-03,92055.23112381349,90829.73678834042
2009-09-04,94242.51877773652,93998.25710923276
2009-09-08,96314.53826092133,95414.2760930737
2009-09-09,98487.26352547058,95540.45630700192
2009-09-10,99777.34510372528,95007.69614655575
2009-09-11,98192.96204422363,94376.88018692097
2009-09-14,99671.27884624848,94685.32056129536
2009-09-15,102311.69638775238,94909.64034736714
2009-09-16,103425.81744430908,94797.48045433125
2009-09-17,102624.72589891228,94587.18032062611
2009-09-18,103756.11520654472,94615.22029388508
2009-09-21,102986.39159280571,94461.00010669789
2009-09-22,104238.51227742943,94524.090213662
2009-09-23,103041.91349393639,94769.44048107228
2009-09-24,97919.88790113243,94355.85037410817
2009-09-25,97437.82473053536,94068.44048107228
2009-09-28,99978.29556037698,94166.58005321583
2009-09-29,100189.59526206765,94061.43032062611
2009-09-30,99532.60363818918,93577.74061477742
2009-10-01,95540.99735976968,93395.48045433125
2009-10-02,94672.56833558448,93388.47029388508
2009-10-05,96264.52630380806,93535.68032062611
2009-10-06,98206.18379930672,93612.79007995686
2009-10-07,98124.64454607185,93563.72029388508
2009-10-08,98981.97328714546,93647.840213662
2009-10-09,98934.92560533699,93633.82056129536
2009-10-12,98751.55692287239,93535.68032062611
2009-10-13,98655.88559528145,93388.47029388508
2009-10-14,101587.0924834803,93461.55647382245
2009-10-15,101178.55069011482,93461.55647382245
2009-10-16,99414.91653293403,93461.55647382245
